TID_LANGUAGE_LOCALIZED_NAME;English;ÖĞÎÄ
TID_ATTACK_FAIL_NO_MATCHES;Unable to find villages to attack!;ÎÒÃÇÎŞ·¨ÕÒµ½¿É¹¥»÷µÄ³ÇÕò£¡
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK;Can't attack! Village is already under attack.;ÎŞ·¨¹¥»÷£¡³ÇÕòÒÑ¾­ÊÜµ½ÁË¹¥»÷
TID_ATTACK_FAIL_TARGET_ONLINE;Can't attack! Village owner is online.;ÎŞ·¨¹¥»÷£¡µ±Ç°³ÇÕò´¦ÓÚÔÚÏß¡£
TID_ATTACK_FAIL_SAME_ALLIANCE;Can't attack your own clan members!;ÎŞ·¨¹¥»÷×Ô¼ºÁª°îµÄ³ÉÔ±£¡
TID_ATTACK_FAIL_SHIELD;Can't attack! Village has active shield;ÎŞ·¨¹¥»÷£¡¸Ã³ÇÕòÔÚ±£»¤ÆÚ
TID_ATTACK_FAIL_LEVEL_DIFFERENCE;Can't attack! Level difference is more than <level>;ÎŞ·¨¹¥»÷£¡µÈ¼¶Ö®¼ä³¬¹ıÁË<¼¶>
TID_ATTACK_FAIL_NEWBIE_PROTECTED;Can't attack this village because its Town Hall is below level <number>.;²»ÄÜ¹¥»÷Õâ¸ö³ÇÕò£¬ÒòÎªËüµÄ³ÇÕò´óÌüµÈ¼¶µÍÓÚ<Êı×Ö>¡£
TID_DEFAULT_VILLAGE_NAME;<name>'s Village;<Ãû³Æ>¡°³ÇÕò
TID_BATTLE_LOG_TITLE;You've been attacked!;Äã±»¹¥»÷ÁË£¡
TID_BATTLE_LOG_ITEM;<name> attacked you <time> ago.;<NAME>¹¥»÷ÄãÔÚ<TIME>Ç°¡£
TID_NO_TROOPS;You need to train some troops first.;ÄúĞèÒªÏÈÅàÑøÒ»Ğ©²¿¶Ó¡£
TID_ERROR_POP_UP_BANNED_TITLE;You have been banned!;ÄúÒÑ±»½ûÖ¹£¡
TID_ERROR_POP_UP_BANNED;You have been banned temporarily;ÄúÒÑ¾­ÔİÊ±±»½ûÖ¹
TID_ERROR_POP_UP_BANNED_BUTTON;Okay;ºÃ
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE;Connection error;Á¬½Ó´íÎó
TID_ERROR_POP_UP_CONNECTION_FAILED;Unable to connect with the server. Check your internet connection and try again.;ÎŞ·¨Óë·şÎñÆ÷Á¬½Ó¡£Çë¼ì²éÄúµÄÍøÂçÁ¬½Ó£¬È»ºóÔÙÊÔÒ»´Î¡£
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON;Try again;ÇëÔÙÊÔÒ»´Î
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE;Connection lost;Á¬½Ó¶ªÊ§
TID_ERROR_POP_UP_CONNECTION_LOST;You have lost connection with the server. Check your internet connection and try again.;ÄãÒÑ¾­Ê§È¥ÁËÓë·şÎñÆ÷µÄÁ¬½Ó¡£Çë¼ì²éÄúµÄÍøÂçÁ¬½Ó£¬È»ºóÔÙÊÔÒ»´Î¡£
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON;Try again;ÇëÔÙÊÔÒ»´Î
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE;Anyone there?;ÓĞÈËÂğ£¿
TID_ERROR_POP_UP_AUTO_DISCONNECTED;Click the button below to reload the game.;µã»÷ÏÂÃæµÄ°´Å¥À´ÖØĞÂÔØÈëÓÎÏ·¡£
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON;Reload game;Ë¢ĞÂÓÎÏ·
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE;Login failed;µÇÂ¼Ê§°Ü
TID_ERROR_POP_UP_LOGIN_FAILED;Please try again later.;ÇëÉÔºóÔÙÊÔÒ»´Î¡£
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON;Try again;ÇëÔÙÊÔÒ»´Î
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE;Update is available!;ÓĞ¿ÉÓÃµÄ¸üĞÂ£¡
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION;Good news! A new version of the game is available.;ºÃÏûÏ¢£¡Ò»¸öĞÂ°æ±¾µÄÓÎÏ·¡£
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON;Update;¸üĞÂ
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE;Error!;´íÎó£¡
TID_ERROR_POP_UP_OUT_OF_SYNC;Client and server are out of sync!;¿Í»§¶ËºÍ·şÎñÆ÷²»Í¬²½£¡
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON;Reload game;Ë¢ĞÂÓÎÏ·
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE;Maintenance break;Î¬»¤ĞİÏ¢
TID_ERROR_POP_UP_SERVER_MAINTENANCE;Sorry, the servers are under maintenance. Please try again later.;¶Ô²»Æğ£¬·şÎñÆ÷ÕıÔÚÎ¬»¤¡£ÇëÉÔºóÔÙÊÔÒ»´Î¡£
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON;Try again;ÇëÔÙÊÔÒ»´Î
TID_BUILDING_ALLIANCE_CASTLE;Clan Castle;Áª°î³Ç±¤
TID_BUILDING_ALLIANCE_MARKER;Clan Flag;Áª°î±êÖ¾
TID_COMM_MAST;Radio Tower;ÎŞÏßµçËş
TID_TRAP_MINE;Bomb;Õ¨µ¯
TID_TRAP_EJECTOR;Spring Trap;»ÙÃğÕßÏİÚå
TID_SHOP_SHIELD_1D;One Day Shield;·ÀÓùÒ»Ìì
TID_SHOP_SHIELD_2D;Two Day Shield;·ÀÓùÁ½Ìì
TID_SHOP_SHIELD_7D;One Week Shield;·ÀÓùÒ»ÖÜ
TID_ALLIANCE_MAIN_BUTTON;Clan;Áª°î
TID_ALLIANCE_LIST_HEADER;Clan;Áª°î
TID_CREATE_ALLIANCE_BUTTON;Create;´´½¨
TID_LEAVE_ALLIANCE_BUTTON;Leave;Àë¿ª
TID_JOIN_ALLIANCE_TAB;Join Clan;¼ÓÈëÁª°î
TID_CREATE_ALLIANCE_TAB;Create Clan;´´½¨Áª°î
TID_MY_ALLIANCE_TAB;My Clan;ÎÒµÄÁª°î
TID_ALLIANCE_BUTTON_EDIT;Edit;¹ÜÀí
TID_ALLIANCE_CREATE_NAME;Clan Name:;Áª°îÃû³Æ£º
TID_ALLIANCE_CREATE_DESCRIPTION;Description:;ËµÃ÷£º
TID_ALLIANCE_CREATE_BADGE;Symbol:;ÏóÕ÷£º
TID_ALLIANCE_CREATE_TYPE;Clan Type:;Áª°îÀàĞÍ£º
TID_ALLIANCE_BADGE_BROWSE;Browse;ä¯ÀÀ
TID_ALLIANCE_TYPE_OPEN;Anyone can join;ÈÎºÎÈË
TID_ALLIANCE_TYPE_INVITE_ONLY;Invite only;ÑûÇë
TID_ALLIANCE_TYPE_CLOSED;Closed;¹Ø±Õ
TID_TOO_SHORT_ALLIANCE_NAME;Clan name is too short!;Áª°îÃû³ÆÊÇÌ«¶ÌÁË£¡
TID_BACK_BUTTON;Back;±³Ãæ
TID_ALLIANCE_SELECT_BADGE;Select Clan Symbol;Ñ¡ÔñÁª°î±êÖ¾
TID_ALLIANCE_JOIN_BUTTON;Join;¼ÓÈë
TID_ALLIANCE_JOIN_OK;You are now a member of clan <name>!;ÄãÏÖÔÚÊÇÁª°î<NAME>³ÉÔ±£¡
TID_ALLIANCE_CREATE_OK;You have successfully founded a new clan!;ÄúÒÑ¾­³É¹¦µØ½¨Á¢ÁËÒ»¸öĞÂµÄÁª°î£¡
TID_ALLIANCE_BUTTON_LEAVE;Leave;Àë¿ª
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE;Leave Clan?;Àë¿ªÁª°îÂğ£¿
TID_ALLIANCE_LEAVE_CONFIRMATION;Do you really want to leave?;ÄãÕæµÄÒªÀë¿ªÂğ£¿
TID_ALLIANCE_ROLE_ADMIN;Clan Elder;Áª°îË¾Áî
TID_ALLIANCE_ROLE_LEADER;Clan Leader;Áª°îÖ¸»Ó¹Ù
TID_ALLIANCE_ROLE_MEMBER;Clan Member;Áª°î³ÉÔ±
TID_ALLIANCE_PROMOTE_BUTTON;Promote to <role>;ÌáÉıµ½<role>¡°
TID_ALLIANCE_DEMOTE_BUTTON;Demote to <role>;½µ¼¶µ½<role>
TID_ALLIANCE_ACCEPTED_BY;Accepted by <name>;½ÓÊÜµÄ<NAME>
TID_ALLIANCE_REJECTED_BY;Rejected by <name>;¾Ü¾øµÄ<NAME>
TID_ALLIANCE_INVITATION_OK;Invite sent successfully.;ÑûÇëÒÑ³É¹¦·¢ËÍ¡£
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE;Can't invite, player does not have a Clan Castle!;²»ÄÜÑûÇë£¬¸ÃÍæ¼Ò»¹Ã»ÓĞÒ»¸öÁª°îµÄ³Ç±¤£¡
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE;Player has already joined a clan!;¸ÃÍæ¼ÒÒÑ¾­¼ÓÈëÁËÒ»¸öÁª°î£¡
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE;You have already invited that player!;ÄúÒÑ¾­ÑûÇë¸ÃÍæ¼Ò£¡
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE;I'd like to join your clan;ÎÒÏë¼ÓÈëÄãµÄÁª°î
TID_ACCEPT_ALLIANCE_JOIN_REQUEST;Accept join request?;½ÓÊÜ¼ÓÈëÇëÇóÂğ£¿
TID_KICK_OUT_FROM_ALLIANCE;Kick Out;Ìß³ö
TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE;Step Down?;½µ¼¶£¿
TID_PROMOTE_TO_LEADER_CONFIRMATION;Make <name> the new Clan Leader?;<Ãû³Æ>µÄĞÂµÄÁª°îË¾ÁîÂğ£¿
TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE;Promote?;ÌáÉı£¿
TID_PROMOTE_TO_ADMIN_CONFIRMATION;Promote <name> to Clan Elder?;½«<NAME>ÌáÉıÎªÖ¸»Ó¹Ù£¿
TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE;Demote?;½µ¼¶£¿
TID_DEMOTE_TO_MEMBER_CONFIRMATION;Demote <name> to Clan Member?;½«<NAME>½µÎªÆÕÍ¨³ÉÔ±Âğ£¿
TID_KICK_MEMBER_CONFIRMATION_TITLE;Banishment!;¿ª³ı£¡
TID_KICK_MEMBER_CONFIRMATION;Kick out <name> from the Clan?;½«<NAME>Çë³öÁª°î£¿
TID_VISIT_BUTTON;Visit;·ÃÎÊ
TID_INVITE_BUTTON;Invite;ÑûÇë
TID_VIEW_ALLIANCE;View Clan;²é¿´Áª°î
TID_SETTINGS_LANGUAGE;Language;ÓïÑÔ
TID_SAVE_ALLIANCE_SETTINGS;Save;±£´æ
TID_STREAM_DONATE_TEXT;needs reinforcement troops;ĞèÒªÔöÅÉ²¿¶Ó
TID_STREAM_DONATE_BUTTON;Donate;¾èÔù
TID_ALLIANCE_DONATE_HEADER;Donate Troops;¾èÔù²¿¶Ó
TID_BUTTON_REQUEST_TROOPS;Request Troops;ÇëÇó²¿¶Ó
TID_TROOP_REQUEST_SENT;Troop request was sent!;²¿¶ÓÇëÇó±»·¢ËÍ£¡
TID_ALLIANCE_STREAM_THANKS;Thank you for the troops!;Ğ»Ğ»ÄãµÄ²¿¶Ó£¡
TID_ALLIANCE_TROOP_RECEIVED;You have received level <level> <troop> from <avatar>!;"½ÓÊÕµçÆ½<LEVEL> <troop>´Ó<avatar>£¡
ÄãÊÕµ½Ô®±ø"
TID_BARBARIAN;Barbarian;Ò°ÂùÈË
TID_ARCHER;Archer;¹­¼ıÊÖ
TID_GIANT;Giant;¾ŞÈË
TID_DRAGON;Dragon;Áú
TID_PEKKA;P.E.K.K.A;P.E.K.K.A
TID_GOBLIN;Goblin;Ğ¡Ñı¾«
TID_WALL_BREAKER;Wall Breaker;»ª¶û½Ö¶ÏÂ·Æ÷
TID_GOBLIN_BALLOON;Balloon;ÆøÇò
TID_HEALER;Healer;Ğ¡Áé
TID_WIZARD;Wizard;Î×Ê¦
TID_TROOP_REQUEST_FAIL_CASTLE_FULL;Clan Castle is already full!;Áª°î³Ç±¤ÒÑ¾­ÂúÁË£¡
TID_TROOP_REQUEST_FAIL_COOLDOWN;You need to wait before requesting more reinforcements.;ÄãĞèÒªµÈ´ıÇ°ÒªÇó¸ü¶àÔöÔ®¡£
TID_ALLIANCE_STREAM_REWARD;You received <number>xp;ÄúµÃµ½<Êı×Ö> XP
TID_HOUSING_TROOPS_INSIDE;All troops:;¸÷²¿¶Ó£º
TID_UNIT_STORAGE_CAPACITY;Troop capacity: <number>;²¿¶ÓÄÜÁ¦£º<Êı×Ö>
TID_HITPOINTS;Hitpoints: <number>;ÉúÃüÖµ£º<Êı×Ö>
TID_DPS;Damage per second: <number>;ÉËº¦£º<Êı×Ö>
TID_HEAL;Heal: <number>;ÖÎÁÆ£º<Êı×Ö>
TID_TRAIN_COST;Training Cost: <number> <resource>;ÑµÁ··ÑÓÃ£º<±àºÅ> <×ÊÔ´>
TID_RESOURCE_STORAGE_CAPACITY;Storage Capacity: <number>;´æ´¢ÈİÁ¿£º<Êı×Ö>
TID_PRODUCTION_RATE;Production Rate: <number> per hour;Éú²úËÙ¶È£ºÃ¿Ğ¡Ê±<Êı×Ö>
TID_PRODUCTION_CAPACITY;Capacity: <number>;ÈİÁ¿£º<Êı×Ö>
TID_HOUSING_INFO;Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army. If an Army Camp is destroyed, all troops inside will perish!;ÄãµÄ²¿¶Ó×¤ÔúÔÚ¾üÓª¡£½¨Á¢ÓªµØºÍÉı¼¶ËûÃÇ×é½¨Ò»Ö§Ç¿´óµÄ¾ü¶Ó¡£Èç¹ûÒ»¸ö¾üÓª±»´İ»Ù£¬ÀïÃæµÄËùÓĞ²¿¶Ó½«ÃğÍö£¡
TID_TOWN_HALL_INFO;This is the heart of your village. Upgrading your Town Hall unlocks new defenses, buildings, traps and much more.\nDestroying an opponent's Town Hall wins you the battle and you get one Star. Destroying 50% of enemy buildings gains you a second Star, while 100% annihilation awards full three Stars.\nBeware, your enemies will be trying to destroy your Town Hall too!\nFor maximum protection, keep your Town Hall in the middle of your village and protect it with walls, traps and defensive buildings. Your enemies are sneaky and can attack from any side!;ÕâÊÇÄãµÄ³ÇÕòµÄĞÄÔà¡£Éı¼¶ÄúµÄÊĞÕşÌü½âËøĞÂµÄ·ÀÓù£¬½¨ÖşÎï£¬ÏİÚåµÈµÈ¡£\ n ÆÆ»µ¶ÔÊÖµÄÊĞÕşÌüÊ¤µÄÕ½¶·£¬Äã»áµÃµ½Ò»¿ÅĞÇ¡£ÆÆ»µµĞÈËµÄ½¨ÖşÎïµÄ50£¥£¬»ñµÃµÚ¶ş¿ÅĞÇ£¬¶ø100£¥ÆÆ»µ»ñµÃµÚÈı¿ÅĞÇ£¬\ n ×¢Òâ£¬ÄãµÄµĞÈË»áÊÔÍ¼´İ»ÙÄãµÄ³ÇÕò´óÌü£¡\ nÎªÁË×î´ó³Ì¶ÈµÄ±£»¤£¬ÈÃÄúµÄ³ÇÕò´óÌüÔÚÖĞÖĞÑë£¬²¢ÓÉ³ÇÇ½£¬ÏİÚåºÍ·ÀÓùĞÔ½¨ÖşÀ´±£»¤¡£ÄãµÄµĞÈËÊÇÍµÍµÃşÃşµÄ£¬¿ÉÒÔÀ´×ÔÈÎºÎ·½ÃæµÄ¹¥»÷£¡
TID_ELIXIR_PUMP_INFO;Elixir is pumped from Ley Lines coursing underneath your village. Upgrade your Elixir Collectors to maximize elixir production.;Å©³¡Éú²úÁ¸Ê³£¬Éı¼¶Å©³¡£¬¿ÉÌá¸ßÆä²úÁ¿ºÍÁ¸Ê³µÄ´æ´¢ÈİÁ¿¡£
TID_ELIXIR_STORAGE_INFO;These storages contain the elixir pumped from underground. Upgrade them to increase the maximum amount of elixir you can store.;¹È²Ö¿ÉÒÔÓÃÀ´´æ´¢Á¸Ê³£¬Éı¼¶¹È²Ö¿ÉÒÔÌá¸ß×î´ó´æ´¢Á¿¡£
TID_GOLD_MINE_INFO;The Gold Mine produces gold. Upgrade it to boost its production and gold storage capacity.;½ğ¿óÉú²ú»Æ½ğ¡£Éı¼¶½ğ¿ó£¬¿ÉÌá¸ßÆäÉú²úÁ¿ºÍ½ğ±ÒµÄ´æ´¢ÈİÁ¿¡£
TID_GOLD_STORAGE_INFO;All your precious gold is stored here. Don't let sneaky goblins anywhere near! Upgrade the storage to increase its capacity and durability against attack.;ËùÓĞµÄ½ğ±Ò¶¼´æ·ÅÔÚÕâÀï£¬²»ÒªÈÃÍµÍµÃşÃşµÄĞ¡Íµµ½¸½½üµÄÈÎºÎµØ·½£¡Éı¼¶Ìá¸ß´æ´¢²¢Ôö¼ÓÆä¿¹¹¥»÷ÄÜÁ¦ºÍÄÍ¾ÃĞÔ¡£
TID_BARRACK_INFO;The Barracks allow you to train troops to attack your enemies. Upgrade the Barracks to unlock advanced units that can win epic battles.;¾üÓªÔÊĞíÑµÁ·Ê¿±ø¹¥»÷ÄãµÄµĞÈË¡£Éı¼¶±øÓª½âËø¸üÇ¿´óµÄ±øÖÖ£¬¿ÉÒÔÓ®µÃÊ·Ê«°ãµÄÕ½¶·¡£
TID_BASIC_TURRET_INFO;Cannons are great for point defense. Upgrade cannons to increase their firepower, but beware that your defensive turrets cannot shoot while being upgraded!;´óÅÚÊÇÎ°´óµÄµã·ÀÓù¡£Éı¼¶´óÅÚ£¬ÒÔÔö¼ÓËûÃÇµÄ»ğÁ¦£¬µ«Òª×¢Òâ£¬ÄãµÄ·ÀÓùÅÚËşÉı¼¶Ê±ÎŞ·¨¹¥»÷£¡
TID_ARCHER_TOWER_INFO;Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies.;»ğÇ¹Ëş±È´óÅÚµÄÉä³Ì¸üÔ¶µÄ£¬¶øÇÒËûÃÇ»¹¿ÉÒÔ¹¥»÷·ÉĞĞµÄµĞÈË¡£
TID_WIZARD_TOWER_INFO;The Ultimate Arcane Defense! Tower Wizards cast powerful area effect spells that target both flying and ground troops.;ÖÕ¼«µÄÄ§·¨·ÀÓù£¡·¨Ê¦ËşÊ©·ÅÇ¿´ó__µÄÇøÓòĞ§¹û·¨Êõ£¬¿ÉÒÔ¹¥»÷·ÉĞĞµ¥Î»ºÍµØÃæµ¥Î»¡£
TID_TESLA_TOWER_INFO;Lay a deadly trap with the Hidden Tesla! Our Wizards have trapped a storm cloud into each of these sneaky towers. When an enemy walks or flies close enough, the tower springs up and fries it using the power of Electrickery!;µì¶¨ÁËÖÂÃüµÄÏİÚå£¬Òş²ØµÄµçËş£¡Ææ²Å¶ÓÒÑ¾­ÏİÈëÒ»³¡·ç±©ÔÆµ½ÕâĞ©ÍµÍµÃşÃşµÄËş¡£µ±µĞÈË×ß»ò·É×ã¹»½Ó½üÊ±£¬Ëş»ÉºÍÊíÌõÊ¹ÓÃµÄÁ¦Á¿Electrickery£¡
TID_AIR_DEFENSE_INFO;This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible.;Õâ¶Ô·ÉĞĞµÄµĞÈË·À¿ÕËşÊÇÖÂÃüµÄ£¬µ«²»ÄÜÔÚµØÃæÉÏµÄÄ¿±êµĞÈË¡£Ã÷ÖÇµØ½«Æä·ÅÖÃÔÚ¾¡¿ÉÄÜ¸²¸Ç¾¡¿ÉÄÜ¶àµÄ¿ÕÓò¡£
TID_MORTAR_INFO;The Mortar can mow down hordes of enemies by the splash damage from its shell. Don't let enemies get too close to it!;É°½¬¿ÉÒÔ¸îÏÂÀ´³ÉÈºµÄµĞÈËµÄ¹¥»÷Ê±ËùÔì³ÉµÄ½¦ÉäÉËº¦½«ËüµÄÍâ¿Ç¡£²»ÒªÈÃµĞÈËÌ«¿¿½üËü£¡
